CoreFX,CoreCLR,Roslyn,Rust,Kubernetes,KubernetesSum
,,,,26,0.6249606804
,,,,26,0.6252878191
,,,,26,0.6256149578
,,,,26,0.6259420965
,,,,26,0.6262692351
,,,,26,0.6265963738
56,33,22,48,25,0.6269109302
2,5,38,1,25,0.6272254866
86,19,52,10,25,0.627540043
2,1,3,1,25,0.6278545994
3,27,29,1,25,0.6281691559
13,5,1,1,25,0.6284837123
1,28,9,49,25,0.6287982687
42,45,1,14,25,0.6291128251
51,7,9,1,25,0.6294273815
20,41,95,70,25,0.6297419379
20,58,40,1,25,0.6300564943
2,24,74,21,25,0.6303710507
13,33,1,32,25,0.6306856072
1,7,,1,25,0.6310001636
27,5,,1,25,0.63131472
3,48,,10,25,0.6316292764
4,,,12,25,0.6319438328
2,,,5,25,0.6322583892
2,,,24,25,0.6325729456
,,,2,25,0.632887502
,,,,25,0.6332020585
,,,,25,0.6335166149
,,,,25,0.6338311713
,,,,25,0.6341457277
,,,,25,0.6344602841
,,,,25,0.6347748405
